material,landfill,recycle,compost,combust,source_reduction,source,needs_human_check,warm_material
drywall,-0.061041329359337294,0.02608665626869755,,,-0.21543021258138986,WARM_v16_xls,false,Drywall
fiberglass_insulation,0.020254519141196047,,,,-0.377296630111613,WARM_v16_xls,false,Fiberglass Insulation
vinyl_flooring,0.020254519141196047,,,-0.3079745111589992,-0.5834375357203866,WARM_v16_xls,false,Vinyl Flooring
wood_flooring,-0.8592610862888036,-3.6849344170172293,,-0.7408217072548903,-4.112919990262885,WARM_v16_xls,false,Wood Flooring
aluminum_ingot,0.020254519141196047,-7.203664917822339,,0.03443222054502572,-7.477284567446883,WARM_v16_xls,false,Aluminum Ingot
pla,-1.642615109278804,,-0.13040739388077993,-0.6262894300233282,-2.4528916331677815,WARM_v16_xls,false,PLA
lldpe,0.020254519141196047,,,1.2888799293428685,-1.575798913594386,WARM_v16_xls,false,LLDPE
pp,0.020254519141196047,-0.7937483912033478,,1.2887280916660748,-1.5248004300239186,WARM_v16_xls,false,PP
ps,0.020254519141196047,,,1.651553194272934,-2.4996318935816175,WARM_v16_xls,false,PS
pvc,0.020254519141196047,,,0.6638632425755793,-1.9251482239214053,WARM_v16_xls,false,PVC
